Starting new measurement at 08.May.2019 - 12:47:26
Time, Eurotherm2416, Keithley2000
9548.16,51.6,10.9654494
9562.949,51.9,10.975395
9578.257,51.6,10.9462147
9593.046,51.6,10.919288
9608.344,51.5,10.9200982
9623.133,51.3,10.915674
9638.441,51.6,10.9316694
9653.23,51.5,10.8798272
9668.018,51.2,11.0205327
9683.32,51.3,10.9719925
9698.109,51.1,10.9844118
9713.407,51.2,10.9587175
9728.196,51.1,10.9982403
9743.494,51.1,10.9720137
9758.282,51.0,10.9958847
9773.081,50.8,10.9598132
9788.379,50.9,10.9530309
9803.168,50.8,10.9812087
9818.466,50.7,10.9846611
9833.255,50.8,10.9993674
9848.551,50.8,10.9901238
9863.34,50.5,11.0248083
9878.128,50.4,10.9845364
9893.427,50.3,10.9891213
9908.215,50.4,10.9564635
9923.513,50.3,11.0275456
9938.302,50.3,10.9755196
9953.6,50.3,11.0148689
9968.389,50.3,11.0326274
9983.177,50.3,10.9947341
9998.476,50.2,11.0599273
10013.261,50.1,11.0148689
10028.559,50.0,11.0139407
10043.347,49.8,11.0227331
10058.646,49.9,11.0974275
10073.434,49.7,11.0926467
10088.733,49.6,11.1299336
10103.521,49.7,11.0603091
10118.31,49.7,11.062307
10133.608,49.7,11.0663415
10148.397,49.5,11.0476121
10163.695,49.5,11.143206
10178.494,49.4,11.0838089
10193.792,49.4,11.0871034
10208.58,49.2,11.0701968
10223.369,49.2,11.0703765
10238.667,49.2,11.0668154
10253.466,49.2,11.118843
10268.764,49.0,11.0780542
10283.553,49.1,11.0893576
10298.851,49.0,11.0825622
10313.65,49.1,11.082595
10328.438,48.9,11.0554486
10343.737,48.9,11.1063536
10358.525,48.7,11.0814234
10373.823,48.9,11.0551665
10388.612,48.8,11.1570702
10403.91,48.5,11.2022955
10418.699,48.7,11.1152453
10433.997,48.6,11.1206209
10448.796,48.6,11.2045047
10463.584,48.5,11.1322382
10478.895,48.4,11.1423862
10493.684,48.4,11.1527834
10508.982,48.3,11.1254251
10523.781,48.2,11.1672242
10539.079,48.2,11.1818352
10553.868,48.3,11.1840895
10568.656,47.9,11.164843
10583.955,48.1,11.1377513
10598.743,48.0,11.1267329
10614.053,48.0,11.1929247
10628.841,47.9,11.1886263
10644.14,47.9,11.1442831
10658.928,47.7,11.1544333
10674.227,47.7,11.1669053
10689.015,47.7,11.1544768
10703.804,47.7,11.1975153
10719.102,47.6,11.1669707
10733.891,47.5,11.1817513
10749.189,47.5,11.231349
10763.978,47.4,11.2066318
10779.276,47.4,11.2008963
10794.064,47.4,11.1884163
10809.363,47.3,11.1581166
10824.151,47.3,11.190769
10838.94,47.3,11.2447711
10854.238,47.1,11.2662618
10869.027,47.2,11.2416215
10884.334,47.1,11.2201023
10899.122,47.1,11.2390808
10914.42,46.9,11.1561648
10929.219,47.0,11.2078861
10944.017,46.9,11.1669162
10959.316,46.9,11.2074327
10974.104,46.8,11.2089318
10989.403,46.9,11.1582924
11004.201,46.7,11.1817374
11019.51,46.7,11.1874708
11034.298,46.6,11.2061518
11049.087,46.7,11.1668201
11064.385,46.6,11.1535708
11079.173,46.6,11.1908804
11094.472,46.5,11.2281797
11109.26,46.4,11.1994604
11124.559,46.4,11.1884163
11139.347,46.3,11.2288644
11154.657,46.3,11.2301981
11169.446,46.3,11.2391357
11184.234,46.0,11.1838643
11199.533,46.1,11.2676238
11214.321,46.0,11.2244834
11229.63,46.0,11.2289779
11244.418,45.9,11.2074498
11259.717,45.8,11.1852453
11274.505,45.9,11.2164227
11289.296,45.8,11.2462084
11304.595,45.8,11.2348096
11319.383,45.7,11.2109035
11334.682,45.6,11.2808382
11349.47,45.7,11.2844027
11364.769,45.6,11.2921092
11379.557,45.5,11.278584
11394.855,45.6,11.2828554
11409.644,45.5,11.2761778
11424.434,45.6,11.3447076
11439.732,45.5,11.3149632
11454.521,45.4,11.2348581
11469.819,45.2,11.2230829
11484.608,45.3,11.3166203
11499.916,45.2,11.324795
11514.705,45.1,11.2651656
11529.493,45.1,11.3259923
11544.792,45.2,11.2640596
11559.59,44.9,11.3464069
11574.888,44.9,11.2607546
11589.675,44.9,11.3510313
11604.974,45.1,11.3349246
11619.762,44.8,11.287784
11634.55,44.8,11.2629875
11649.849,44.8,11.324795
11664.637,44.8,11.3393186
11679.936,44.7,11.3869791
11694.724,44.7,11.3069618
11710.033,44.7,11.2967278
11724.821,44.6,11.2393671
11740.12,44.5,11.3281763
11754.908,44.6,11.2900383
11769.697,44.3,11.3297445
11784.995,44.4,11.2842732
11799.784,44.4,11.3215266
11815.082,44.3,11.2908723
11829.87,44.2,11.3000715
11845.169,44.3,11.3326114
11859.957,44.3,11.3373077
11874.746,44.2,11.3204704
11890.044,44.1,11.3329274
11904.833,44.0,11.3813985
11920.131,44.1,11.3350533
11934.92,44.1,11.3223416
11950.218,43.9,11.3438513
11965.007,43.9,11.3981857
11979.795,43.8,11.365437
11995.103,43.9,11.4500886
12009.892,43.8,11.4624292
12025.2,43.7,11.3956921
12039.99,43.8,11.4015007
12055.289,43.6,11.4160899
12070.077,43.8,11.405946
12085.376,43.6,11.4243053
12100.174,43.5,11.4160899
12114.962,43.6,11.344071
12130.261,43.5,11.4116372
12145.049,43.5,11.4465215
12160.348,43.3,11.4114398
12175.142,43.5,11.4625593
12190.451,43.3,11.4262337
12205.239,43.2,11.4238665
12220.027,43.3,11.4479643
12235.326,43.2,11.47697
12250.124,43.2,11.4702026
12265.423,43.2,11.4812114
12280.211,43.2,11.4003738
12295.51,43.0,11.4750154
12310.293,43.0,11.4365031
12325.081,43.1,11.5018819
12340.38,42.8,11.4589175
12355.168,42.9,11.4308718
12370.466,42.9,11.4510858
12385.255,42.9,11.5071979
12400.553,42.8,11.463614
12415.342,42.7,11.4397589
12430.64,42.7,11.504134
12445.429,42.7,11.5064444
12460.217,42.6,11.4951171
12475.516,42.6,11.4815919
12490.304,42.5,11.4749588
12505.602,42.5,11.5368257
12520.401,42.5,11.5165846
12535.699,42.4,11.5344857
12550.488,42.4,11.580834
12565.786,42.4,11.5616246
12580.569,42.4,11.563879
12595.357,42.4,11.5626689
12610.656,42.1,11.5579278
12625.444,42.3,11.5401207
12640.743,42.2,11.5435828
12655.531,42.4,11.5762784
12670.83,42.3,11.6067009
12685.618,42.1,11.6145021
12700.407,42.0,11.5469707
12715.705,42.1,11.4568534
12730.493,42.0,11.5760062
12745.802,41.9,11.5482718
12760.59,41.9,11.6181606
12775.889,42.0,11.6067576
12790.677,42.0,11.6153974
12805.466,41.8,11.5796601
12820.767,41.7,11.6379958
12835.558,41.8,11.5762784
12850.857,41.7,11.5921051
12865.655,41.8,11.6100878
12880.954,41.6,11.6067134
12895.752,41.5,11.632402
12911.051,41.5,11.6157745
12925.839,41.5,11.6287358
12940.631,41.4,11.6134636
12955.93,41.3,11.5998066
12970.718,41.4,11.6188782
12986.017,41.5,11.5986795
13000.815,41.4,11.6123365
13016.123,41.3,11.6709649
13030.912,41.3,11.6763167
13045.7,41.3,11.69435
13061.009,41.3,11.6866134
13075.797,41.3,11.7194054
13091.106,41.1,11.6719408
13105.894,41.1,11.6878733
13121.193,41.1,11.6817625
13135.981,40.9,11.6446047
13150.77,41.1,11.7522888
13166.068,41.0,11.7316769
13180.856,40.9,11.7439155
13196.155,40.9,11.707875
13210.943,40.8,11.727326
13226.242,40.9,11.6876631
13241.03,40.8,11.7205626
13256.329,40.8,11.7060416
13271.117,40.7,11.6630564
13285.906,40.7,11.7622995
13301.204,40.6,11.6788359
13315.993,40.6,11.7057537
13331.291,40.6,11.6888473
13346.089,40.5,11.6990265
13361.388,40.7,11.7252378
13376.176,40.5,11.7350582
13390.965,40.4,11.7339311
13406.273,40.4,11.7642292
13421.072,40.3,11.7327639
13436.371,40.4,11.7026599
13451.159,40.4,11.7047816
13466.458,40.3,11.727326
13481.246,40.3,11.784632
13496.545,40.3,11.8205614
13511.333,40.3,11.784948
13526.121,40.3,11.784948
13541.414,40.1,11.8041109
13556.213,40.2,11.8365548
13571.511,40.1,11.8513416
13586.3,40.1,11.8502145
13601.598,40.0,11.8333077
13616.387,40.0,11.8624402
13631.175,40.0,11.8275035
13646.474,40.0,11.8772259
13661.257,39.9,11.858052
13676.566,39.8,11.895123
13691.354,39.9,11.8579118
13706.663,39.9,11.8658015
13721.451,39.9,11.8828824
13736.24,39.7,11.8761381
13751.538,39.7,11.887369
13766.326,39.8,11.8680938
13781.624,39.7,11.8614479
13796.413,39.5,11.8725832
13811.721,39.5,11.8701945
13826.51,39.5,11.9334407
13841.808,39.6,11.8627474
13856.597,39.4,11.870483
13871.385,39.4,11.8860311
13886.683,39.6,11.8691827
13901.472,39.5,11.8829008
13916.77,39.4,11.8658212
13931.559,39.4,11.9144446
13946.857,39.5,11.9108853
